,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,84.809998,84.809998,80.639999,80.879997,69.028336,3917000.0
1,2016-01-08,81.150002,81.599998,76.989998,78.5,66.99707,5346700.0
2,2016-01-15,76.889999,80.690002,76.5,79.220001,67.611588,4410000.0
3,2016-01-22,80.260002,83.529999,78.849998,83.349998,71.136398,3844400.0
4,2016-01-29,83.669998,86.260002,82.029999,86.029999,73.423676,4944700.0
5,2016-02-05,86.019997,87.599998,83.190002,86.440002,73.773613,5519300.0
6,2016-02-12,86.93,91.919998,85.260002,90.790001,77.486191,6256700.0
7,2016-02-19,90.18,93.139999,89.830002,91.870003,78.407936,4164700.0
8,2016-02-26,92.199997,94.059998,90.150002,93.93,80.166054,4171900.0
9,2016-03-04,93.800003,94.730003,92.82,93.919998,80.728531,3178100.0
10,2016-03-11,94.720001,98.540001,94.160004,98.410004,84.587875,3427600.0
11,2016-03-18,98.82,98.82,96.540001,97.720001,83.994789,4095400.0
12,2016-03-25,98.050003,99.589996,97.540001,99.360001,85.404457,2113000.0
13,2016-04-01,98.629997,99.790001,96.389999,96.910004,83.298569,4140900.0
14,2016-04-08,97.639999,99.5,95.970001,98.419998,84.596481,3438200.0
15,2016-04-15,98.800003,100.0,95.580002,96.190002,82.679695,5173100.0
16,2016-04-22,96.209999,98.459999,96.199997,97.339996,83.668167,2698800.0
17,2016-04-29,96.910004,97.269997,95.400002,95.959999,82.481987,3458000.0
18,2016-05-06,95.910004,98.07,95.419998,97.110001,83.470467,2503100.0
19,2016-05-13,96.940002,97.550003,92.25,93.480003,80.350342,3808500.0
20,2016-05-20,93.989998,96.93,93.199997,96.32,82.791435,2787000.0
21,2016-05-27,96.589996,97.459999,95.449997,96.93,83.315758,2388200.0
22,2016-06-03,96.459999,97.910004,95.629997,97.230003,84.144882,2467300.0
23,2016-06-10,96.739998,96.919998,94.730003,96.589996,83.591019,2224800.0
24,2016-06-17,96.639999,99.43,96.309998,99.410004,86.031517,2336400.0
25,2016-06-24,96.160004,101.279999,94.099998,101.25,87.623878,4165100.0
26,2016-07-01,101.25,103.989998,100.43,102.940002,89.086441,3739500.0
27,2016-07-08,104.029999,105.970001,103.410004,103.830002,89.856667,3100300.0
28,2016-07-15,104.050003,104.050003,98.330002,98.779999,85.486305,4640000.0
29,2016-07-22,98.68,102.839996,98.419998,102.639999,88.82682,3223200.0
30,2016-07-29,102.290001,102.599998,99.029999,100.800003,87.234444,2813000.0
31,2016-08-05,101.220001,102.410004,100.629997,102.0,88.272942,2831000.0
